Institution,STATE,Type,Med,LG,Mean_PCI,Latest_PCI,Latest_Year,N,Tone,Clarity,Legal
University of Florida,FL,Public R1,Y,Y,0.4119031786688271,0.4119031786688271,2013,1,0.2069929189721072,0.3096700266983676,0.1785513986304719
University of Maine,ME,Public R1,Y,Y,0.4135805346598077,0.4135805346598077,2002,1,0.3078795377656309,-0.1244675849158398,-0.0604984435410201
Oklahoma State University,OK,Public R1,Y,Y,0.4144896570106473,0.3861358598193717,2019,2,-0.409677000916223,-0.7779456625021135,0.23999714280563925
University of Michigan,MI,Public R1,Y,N,0.41612209084422347,0.4181502163440593,2021,2,0.11014741728763675,-0.12022478055614079,-0.3663919732511499
Arizona State University,AZ,Public R1,Y,N,0.41629990293460145,0.3717454720590909,2025,5,0.6625515826901393,0.21262426361369285,-0.47573788235205416
University of Denver,CO,Private R1,N,N,0.41876889039745635,0.4096254244845679,2023,2,-0.13438273732577724,-0.2809693926604008,0.1526687710450785
Indiana University,IN,Public R1,Y,N,0.41896716781888976,0.3655046394655172,2024,5,-0.20596900987341676,0.18486435836728735,-0.7363280580486944
Wake Forest University,NC,Private R2,Y,N,0.4190337344118342,0.4493533278114406,2025,5,0.1731993689920257,0.2161190599469625,-0.24166038011360946
George Mason University,VA,Public R1,N,N,0.4195337682192982,0.4195337682192982,2008,1,0.4719168481382376,-0.0539562183985877,0.2759391277366525
University of Kentucky,KY,Public R1,Y,Y,0.4196502800738799,0.4159931299503546,2005,3,0.35123604482573256,0.014568318826052066,-0.9451178190972248
Florida Atlantic University,FL,Public R1,Y,N,0.4197119798525587,0.3875904372003058,2020,5,0.07434860424019925,0.2426810887133973,-0.10209093034776284
Northern Illinois University,IL,Public R2,N,N,0.4198094808728522,0.4073536171623711,2007,2,0.20627269901287898,0.12388158002364424,-0.25052833168764205
Texas A&M University System,TX,Public R2,Y,Y,0.42048038300069873,0.2789168565835821,2025,9,0.27217939852039874,-0.4366512777869738,-0.053804122573707175
Northeastern University,MA,Private R1,N,N,0.42160624512110034,0.4243776173770492,2023,2,0.021318700679892014,-0.5099574679668398,1.5124153916613388
New York University,NY,Private R1,Y,N,0.42428988085563263,0.4326717202172181,2021,3,0.05698837830582874,-0.7824255227250577,0.296953017966906
University of Texas Medical Branch (Galveston),TX,Public R2,Y,N,0.4243532702574547,0.3447531488265766,2019,9,-0.02993517188053685,0.1731216831822102,0.08703804203887701
University of Texas Southwestern Med. Ctr_,TX,Public R1,Y,N,0.4243567414149941,0.355912584829646,2025,9,0.11647982095657793,0.16406890018061046,0.1631949642293866
University of Arkansas,AR,Public R1,Y,Y,0.4245051997202513,0.4521867878947368,2016,7,-0.09556698036024945,-1.0445734081351028,1.005623540491506
Clemson University,SC,Public R1,N,Y,0.42462698798866183,0.4103958768586956,2025,4,-0.025880048876916174,-0.14169140136849684,-0.007444152709958449
Tufts University,MA,Private R1,Y,N,0.4255549244861111,0.4255549244861111,2005,1,0.3065606967964709,-0.5510696865380745,-0.5873583626800549
Yale University,CT,Private R1,Y,N,0.4259881358551191,0.4052685871066667,2023,2,-0.0757421797158641,0.0185759448733779,0.29782786507973097
University of South Florida,FL,Public R1,Y,N,0.4278146069985318,0.4382648856195121,2025,4,0.35633182103289013,-0.3109901334215245,0.20544932812872668
Penn State University,PA,Public R1,Y,Y,0.42853828221978213,0.4567737361833333,2013,3,0.29117762200813985,0.7970884680587275,-1.2090122385645101
University of Missouri System,MO,Public R2,Y,Y,0.42859442967293787,0.4649700987774869,2025,5,-0.3766974381950686,0.019423905773981832,1.1861408570915917
St. Louis University,MO,Private R1,Y,N,0.4326700593148753,0.4248620465397436,2024,4,-0.35618021857268606,0.09684340779778222,-0.1607544692881021
Medical University of South Carolina,SC,Public R1,Y,N,0.43279129412054074,0.4060245336666666,2016,3,-0.5571821014584603,-0.3154176627086385,0.5310792091524544
University of Texas Houston Hlth. Sci. Ctr_,TX,Public R1,Y,N,0.4341722512188748,0.3847149776807229,2021,8,0.009833533265959697,0.17811872995239358,0.06397134306568897
Ohio State University,OH,Public R1,Y,Y,0.43428919839629615,0.4349369304924699,2024,3,-0.09634802025381285,-0.30758851553230565,0.3557173761035893
University of Cincinnati,OH,Public R1,Y,N,0.4343953080630102,0.439976056075,2019,2,-0.29025756279540416,-0.5079943013294317,0.1197952647605667
